2026-04-27T10:39:35+0800 [INFO] 开始质量评分
2026-04-27T10:39:35+0800 [DEBUG] [1/271] 2026-04-21-ai-agents-for-beginners.json: 等级 B, 分数 79/100
2026-04-27T10:39:35+0800 [DEBUG] [28/271] 2026-04-22-archon.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [29/271] 2026-04-22-autogpt.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [30/271] 2026-04-22-browser-harness.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [31/271] 2026-04-22-claude-context.json: 等级 A, 分数 90/100
2026-04-27T10:39:35+0800 [DEBUG] [32/271] 2026-04-22-deepagents.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [33/271] 2026-04-22-deer-flow.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [34/271] 2026-04-22-everything-claude-code.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [35/271] 2026-04-22-finceptterminal.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [36/271] 2026-04-22-goclaw.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [37/271] 2026-04-22-harness.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [38/271] 2026-04-22-hive.json: 等级 A, 分数 83/100
2026-04-27T10:39:35+0800 [DEBUG] [39/271] 2026-04-22-impeccable.json: 等级 B, 分数 72/100
2026-04-27T10:39:35+0800 [DEBUG] [40/271] 2026-04-22-lobehub.json: 等级 A, 分数 81/100
2026-04-27T10:39:35+0800 [DEBUG] [41/271] 2026-04-22-nexent.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [42/271] 2026-04-22-oh-my-openagent.json: 等级 A, 分数 94/100
2026-04-27T10:39:35+0800 [DEBUG] [43/271] 2026-04-22-oh-my-pi.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [44/271] 2026-04-22-openclaw.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [45/271] 2026-04-22-openharness.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [46/271] 2026-04-22-osaurus.json: 等级 A, 分数 91/100
2026-04-27T10:39:35+0800 [DEBUG] [47/271] 2026-04-22-parlant.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [48/271] 2026-04-22-ragflow.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [49/271] 2026-04-22-thunderbolt.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [50/271] 2026-04-22-trellis.json: 等级 A, 分数 81/100
2026-04-27T10:39:35+0800 [DEBUG] [51/271] 2026-04-22-trendradar.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [52/271] 2026-04-22-yuxi.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [53/271] 2026-04-23-a-roblox-cheat-and-one-ai-tool-brought-down-vercel-s-platform.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [54/271] 2026-04-23-ai-guide.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [55/271] 2026-04-23-ai-resistance-some-recent-anti-ai-stuff-that-s-worth-discussing.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [56/271] 2026-04-23-anker-made-its-own-chip-to-bring-ai-to-all-its-products.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [57/271] 2026-04-23-archon.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [58/271] 2026-04-23-autogpt.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [59/271] 2026-04-23-bring-your-agent-to-teams.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [60/271] 2026-04-23-browser-harness.json: 等级 A, 分数 89/100
2026-04-27T10:39:35+0800 [DEBUG] [61/271] 2026-04-23-claude-code.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [62/271] 2026-04-23-claude-context.json: 等级 A, 分数 94/100
2026-04-27T10:39:35+0800 [DEBUG] [63/271] 2026-04-23-comfyui.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [64/271] 2026-04-23-crabtrap-an-llm-as-a-judge-http-proxy-to-secure-agents-in-production.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [65/271] 2026-04-23-deepagents.json: 等级 A, 分数 92/100
2026-04-27T10:39:35+0800 [DEBUG] [66/271] 2026-04-23-deer-flow.json: 等级 A, 分数 85/100
2026-04-27T10:39:35+0800 [DEBUG] [67/271] 2026-04-23-dify.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [68/271] 2026-04-23-everything-claude-code.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [69/271] 2026-04-23-finceptterminal.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [70/271] 2026-04-23-firecrawl.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [71/271] 2026-04-23-generative-ai-for-beginners.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [72/271] 2026-04-23-goclaw.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [73/271] 2026-04-23-harness.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [74/271] 2026-04-23-hermes-agent.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [75/271] 2026-04-23-hive.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [76/271] 2026-04-23-impeccable.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [77/271] 2026-04-23-javaguide.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [78/271] 2026-04-23-kernel-code-removals-driven-by-llm-created-security-reports.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [79/271] 2026-04-23-kuri-zig-based-agent-browser-alternative.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [80/271] 2026-04-23-langchain.json: 等级 A, 分数 94/100
2026-04-27T10:39:35+0800 [DEBUG] [81/271] 2026-04-23-langflow.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [82/271] 2026-04-23-langfuse.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [83/271] 2026-04-23-lobehub.json: 等级 A, 分数 89/100
2026-04-27T10:39:35+0800 [DEBUG] [84/271] 2026-04-23-meta-employees-are-up-in-arms-over-a-mandatory-program-to-train-ai-on-their.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [85/271] 2026-04-23-meta-to-start-capturing-employee-mouse-movement-keystrokes-for-ai-training-data.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [86/271] 2026-04-23-meta-to-start-capturing-employee-mouse-movements-keystrokes-for-ai-training.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [87/271] 2026-04-23-n8n.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [88/271] 2026-04-23-nexent.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [89/271] 2026-04-23-oh-my-openagent.json: 等级 A, 分数 91/100
2026-04-27T10:39:35+0800 [DEBUG] [90/271] 2026-04-23-oh-my-pi.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [91/271] 2026-04-23-ollama.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [92/271] 2026-04-23-open-webui.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [93/271] 2026-04-23-openclaw.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [94/271] 2026-04-23-opencode.json: 等级 A, 分数 85/100
2026-04-27T10:39:35+0800 [DEBUG] [95/271] 2026-04-23-openharness.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [96/271] 2026-04-23-openmetadata.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [97/271] 2026-04-23-osaurus.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [98/271] 2026-04-23-parlant.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [99/271] 2026-04-23-peter-thiel-is-building-a-parallel-justice-system-powered-by-ai.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [100/271] 2026-04-23-pixelle-video.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [101/271] 2026-04-23-prompts-chat.json: 等级 A, 分数 90/100
2026-04-27T10:39:35+0800 [DEBUG] [102/271] 2026-04-23-ragflow.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [103/271] 2026-04-23-scammer-used-an-ai-generated-maga-girl-to-grift-men.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [104/271] 2026-04-23-scoring-show-hn-submissions-for-ai-design-patterns.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [105/271] 2026-04-23-shannon.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [106/271] 2026-04-23-show-hn-broccoli-one-shot-coding-agent-on-the-cloud.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [107/271] 2026-04-23-show-hn-gomodel-an-open-source-ai-gateway-in-go.json: 等级 A, 分数 92/100
2026-04-27T10:39:35+0800 [DEBUG] [108/271] 2026-04-23-skills.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [109/271] 2026-04-23-startups-brag-they-spend-more-money-on-ai-than-human-employees.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [110/271] 2026-04-23-system-prompts-and-models-of-ai-tools.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [111/271] 2026-04-23-tell-hn-i-m-sick-of-ai-everything.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [112/271] 2026-04-23-top-maga-influencer-revealed-to-be-ai.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [113/271] 2026-04-23-transformers.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [114/271] 2026-04-23-trellis.json: 等级 A, 分数 90/100
2026-04-27T10:39:35+0800 [DEBUG] [115/271] 2026-04-23-trendradar.json: 等级 B, 分数 79/100
2026-04-27T10:39:35+0800 [DEBUG] [116/271] 2026-04-23-worldmonitor.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [117/271] 2026-04-23-yuxi.json: 等级 A, 分数 92/100
2026-04-27T10:39:35+0800 [DEBUG] [118/271] 2026-04-24-andrej-karpathy-skills.json: 等级 B, 分数 75/100
2026-04-27T10:39:35+0800 [DEBUG] [119/271] 2026-04-24-anker-made-its-own-chip-to-bring-ai-to-all-its-products.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [120/271] 2026-04-24-ansible.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [121/271] 2026-04-24-autogpt.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [122/271] 2026-04-24-awesome-llm-apps.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [123/271] 2026-04-24-awesome-mcp-servers.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [124/271] 2026-04-24-bring-your-agent-to-teams.json: 等级 A, 分数 87/100
2026-04-27T10:39:35+0800 [DEBUG] [125/271] 2026-04-24-browser-use.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [126/271] 2026-04-24-claude-code.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [127/271] 2026-04-24-claude-mem.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [128/271] 2026-04-24-codex.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [129/271] 2026-04-24-comfyui.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [130/271] 2026-04-24-crabtrap-an-llm-as-a-judge-http-proxy-to-secure-agents-in-production.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [131/271] 2026-04-24-daytona.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [132/271] 2026-04-24-deep-live-cam.json: 等级 B, 分数 73/100
2026-04-27T10:39:35+0800 [DEBUG] [133/271] 2026-04-24-dify.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [134/271] 2026-04-24-everything-claude-code.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [135/271] 2026-04-24-firecrawl.json: 等级 B, 分数 77/100
2026-04-27T10:39:35+0800 [DEBUG] [136/271] 2026-04-24-gemini-cli.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [137/271] 2026-04-24-generative-ai-for-beginners.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [138/271] 2026-04-24-hermes-agent.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [139/271] 2026-04-24-javaguide.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [140/271] 2026-04-24-kernel-code-removals-driven-by-llm-created-security-reports.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [141/271] 2026-04-24-kuri-zig-based-agent-browser-alternative.json: 等级 B, 分数 75/100
2026-04-27T10:39:35+0800 [DEBUG] [142/271] 2026-04-24-langchain.json: 等级 A, 分数 92/100
2026-04-27T10:39:35+0800 [DEBUG] [143/271] 2026-04-24-langflow.json: 等级 A, 分数 83/100
2026-04-27T10:39:35+0800 [DEBUG] [144/271] 2026-04-24-less-human-ai-agents-please.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [145/271] 2026-04-24-llama-cpp.json: 等级 A, 分数 90/100
2026-04-27T10:39:35+0800 [DEBUG] [146/271] 2026-04-24-llamafactory.json: 等级 A, 分数 92/100
2026-04-27T10:39:35+0800 [DEBUG] [147/271] 2026-04-24-lobehub.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [148/271] 2026-04-24-meshcore-development-team-splits-over-trademark-dispute-and-ai-generated-code.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [149/271] 2026-04-24-meta-employees-are-up-in-arms-over-a-mandatory-program-to-train-ai-on-their.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [150/271] 2026-04-24-meta-to-start-capturing-employee-mouse-movement-keystrokes-for-ai-training-data.json: 等级 B, 分数 75/100
2026-04-27T10:39:35+0800 [DEBUG] [151/271] 2026-04-24-meta-to-start-capturing-employee-mouse-movements-keystrokes-for-ai-training.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [152/271] 2026-04-24-n8n.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [153/271] 2026-04-24-netdata.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [154/271] 2026-04-24-ollama.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [155/271] 2026-04-24-open-webui.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [156/271] 2026-04-24-openclaw.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [157/271] 2026-04-24-opencode.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [158/271] 2026-04-24-openhands.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [159/271] 2026-04-24-our-newsroom-ai-policy.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [160/271] 2026-04-24-paddleocr.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [161/271] 2026-04-24-prompts-chat.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [162/271] 2026-04-24-ragflow.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [163/271] 2026-04-24-scammer-used-an-ai-generated-maga-girl-to-grift-men.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [164/271] 2026-04-24-scoring-show-hn-submissions-for-ai-design-patterns.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [165/271] 2026-04-24-show-hn-agent-vault-open-source-credential-proxy-and-vault-for-agents.json: 等级 A, 分数 85/100
2026-04-27T10:39:35+0800 [DEBUG] [166/271] 2026-04-24-show-hn-broccoli-one-shot-coding-agent-on-the-cloud.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [167/271] 2026-04-24-show-hn-gomodel-an-open-source-ai-gateway-in-go.json: 等级 A, 分数 89/100
2026-04-27T10:39:35+0800 [DEBUG] [168/271] 2026-04-24-skills.json: 等级 B, 分数 77/100
2026-04-27T10:39:35+0800 [DEBUG] [169/271] 2026-04-24-spec-kit.json: 等级 B, 分数 73/100
2026-04-27T10:39:35+0800 [DEBUG] [170/271] 2026-04-24-startups-brag-they-spend-more-money-on-ai-than-human-employees.json: 等级 B, 分数 73/100
2026-04-27T10:39:35+0800 [DEBUG] [171/271] 2026-04-24-supabase.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [172/271] 2026-04-24-superpowers.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [173/271] 2026-04-24-top-maga-influencer-revealed-to-be-ai.json: 等级 B, 分数 73/100
2026-04-27T10:39:35+0800 [DEBUG] [174/271] 2026-04-24-transformers.json: 等级 A, 分数 91/100
2026-04-27T10:39:35+0800 [DEBUG] [175/271] 2026-04-24-vllm.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [176/271] 2026-04-25-andrej-karpathy-skills.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [177/271] 2026-04-25-anker-made-its-own-chip-to-bring-ai-to-all-its-products.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [178/271] 2026-04-25-ansible.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [179/271] 2026-04-25-appflowy.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [180/271] 2026-04-25-autogpt.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [181/271] 2026-04-25-awesome-llm-apps.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [182/271] 2026-04-25-awesome-mcp-servers.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [183/271] 2026-04-25-bring-your-agent-to-teams.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [184/271] 2026-04-25-browser-use.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [185/271] 2026-04-25-claude-code.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [186/271] 2026-04-25-codex.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [187/271] 2026-04-25-comfyui.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [188/271] 2026-04-25-daytona.json: 等级 A, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [189/271] 2026-04-25-deep-live-cam.json: 等级 B, 分数 73/100
2026-04-27T10:39:35+0800 [DEBUG] [190/271] 2026-04-25-dify.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [191/271] 2026-04-25-do-you-want-the-us-to-win-ai.json: 等级 B, 分数 73/100
2026-04-27T10:39:35+0800 [DEBUG] [192/271] 2026-04-25-everything-claude-code.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [193/271] 2026-04-25-firecrawl.json: 等级 B, 分数 79/100
2026-04-27T10:39:35+0800 [DEBUG] [194/271] 2026-04-25-gemini-cli.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [195/271] 2026-04-25-generative-ai-for-beginners.json: 等级 B, 分数 73/100
2026-04-27T10:39:35+0800 [DEBUG] [196/271] 2026-04-25-hear-your-agent-suffer-through-your-code.json: 等级 B, 分数 75/100
2026-04-27T10:39:35+0800 [DEBUG] [197/271] 2026-04-25-hermes-agent.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [198/271] 2026-04-25-javaguide.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [199/271] 2026-04-25-kernel-code-removals-driven-by-llm-created-security-reports.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [200/271] 2026-04-25-kuri-zig-based-agent-browser-alternative.json: 等级 B, 分数 75/100
2026-04-27T10:39:35+0800 [DEBUG] [201/271] 2026-04-25-langchain.json: 等级 A, 分数 94/100
2026-04-27T10:39:35+0800 [DEBUG] [202/271] 2026-04-25-langflow.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [203/271] 2026-04-25-llama-cpp.json: 等级 A, 分数 88/100
2026-04-27T10:39:35+0800 [DEBUG] [204/271] 2026-04-25-llamafactory.json: 等级 A, 分数 90/100
2026-04-27T10:39:35+0800 [DEBUG] [205/271] 2026-04-25-lobehub.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [206/271] 2026-04-25-meshcore-development-team-splits-over-trademark-dispute-and-ai-generated-code.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [207/271] 2026-04-25-meta-employees-are-up-in-arms-over-a-mandatory-program-to-train-ai-on-their.json: 等级 B, 分数 75/100
2026-04-27T10:39:35+0800 [DEBUG] [208/271] 2026-04-25-meta-to-start-capturing-employee-mouse-movements-keystrokes-for-ai-training.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [209/271] 2026-04-25-n8n.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [210/271] 2026-04-25-netdata.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [211/271] 2026-04-25-ollama.json: 等级 A, 分数 87/100
2026-04-27T10:39:35+0800 [DEBUG] [212/271] 2026-04-25-open-webui.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [213/271] 2026-04-25-openclaw.json: 等级 B, 分数 73/100
2026-04-27T10:39:35+0800 [DEBUG] [214/271] 2026-04-25-opencode.json: 等级 B, 分数 78/100
2026-04-27T10:39:35+0800 [DEBUG] [215/271] 2026-04-25-openhands.json: 等级 B, 分数 80/100
2026-04-27T10:39:35+0800 [DEBUG] [216/271] 2026-04-25-our-newsroom-ai-policy.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [217/271] 2026-04-25-paddleocr.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [218/271] 2026-04-25-prompts-chat.json: 等级 A, 分数 84/100
2026-04-27T10:39:35+0800 [DEBUG] [219/271] 2026-04-25-ragflow.json: 等级 A, 分数 86/100
2026-04-27T10:39:35+0800 [DEBUG] [220/271] 2026-04-25-scoring-show-hn-submissions-for-ai-design-patterns.json: 等级 B, 分数 76/100
2026-04-27T10:39:35+0800 [DEBUG] [221/271] 2026-04-25-show-hn-agent-vault-open-source-credential-proxy-and-vault-for-agents.json: 等级 A, 分数 82/100
2026-04-27T10:39:35+0800 [DEBUG] [222/271] 2026-04-25-show-hn-atomic-local-first-ai-augmented-personal-knowledge-base.json: 等级 B, 分数 76/100
